%dados de avaliacoes spam e nao spam de lugares do Apontador

@relation 'apontador'
@attribute qLikes_tip real
@attribute qAbuse_tip real
@attribute qPlaces_usr real
@attribute qTips_usr real
@attribute qPhotos_usr real
@attribute qClicks_plc real
@attribute qTips_plc real
@attribute rating_plc real
@attribute qThumbsdown_plc real
@attribute qThumbsup_plc real
@attribute simil_avg_tip real
@attribute simil_max_tip real 
@attribute simil_min_tip real
@attribute simil_median_tip real
@attribute simil_sd_tip real
@attribute qUnigram_avg_tip real
@attribute qUnigram_avg_fraction_tip real
@attribute qBigram_avg_tip real
@attribute qBigram_avg_fraction_tip real
@attribute qTrigram_avg_tip real
@attribute qTrigram_avg_fraction_tip real
@attribute qSpamWords_tip real
@attribute qCapitalChar_tip real
@attribute qNumeriChar_tip real
@attribute qPhone_tip real
@attribute qEmail_tip real
@attribute qURL_tip real
@attribute qContacts_tip real
@attribute qWords_tip real
@attribute qCapitalWords_tip real
@attribute dist_avg_usr real 
@attribute dist_max_usr real
@attribute dist_min_usr real
@attribute dist_median_usr real
@attribute dist_sd_usr real
@attribute qOffensWords_tip real
@attribute hasOffensWords_tip real
@attribute clust_gph real
@attribute recip_gph real
@attribute indeg_gph real
@attribute outdeg_gph real
@attribute followers_followees_gph real
@attribute degree_gph real
@attribute betwee_gph real
@attribute assort_inin_gph real
@attribute assort_inout_gph real
@attribute assort_outin_gph real
@attribute assort_outout_gph real
@attribute pagerank_gph real
@attribute qAreas_usr real
@attribute focus_area_usr real
@attribute entropy_usr real
@attribute sentiwordnet_tip real
@attribute emoticons_tip real
@attribute panast_tip real
@attribute sasa_tip real
@attribute senticnet_tip real
@attribute happinessindex_tip real
@attribute sentistrength_tip real
@attribute combined_tip real
@attribute class1 {spam, notspam}
@attribute class2 {notspam, marketer, pollution, badmouthing}

@data
0.0001,0.0001,1.0,2.0,0.0001,12.0,1.0,5.0,1.0,1.0,0.025,0.025,0.025,0.025,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,1.0,0.0001,1.0,26.0,0.0001,48.466,48.466,48.466,48.466,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,2,0.5,1.0,1e-05,1e-05,1e-05,1e-05,0.0457058823529,0.26375,0.666666666667,0.148619616283,spam,pollution
0.0001,0.0001,1.0,2.0,0.0001,45.0,1.0,4.0,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,-0.250064247409,1e-05,1e-05,-0.250064247409,1e-05,1e-05,1e-05,-0.0666803824306,spam,pollution
0.0001,0.0001,0.0001,2.0,0.0001,25.0,1.0,5.0,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,9.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,0.614453449616,1e-05,1e-05,0.614453449616,0.047,1e-05,1e-05,0.170136285704,spam,marketer
0.0001,0.0001,0.0001,2.0,0.0001,32.0,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4.0,10.0,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,0.484026241753,1e-05,1e-05,0.484026241753,0.166333333333,0.645,1e-05,0.238844805736,spam,pollution
1.0,0.0001,0.0001,2.0,0.0001,32.0,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,spam,pollution
0.0001,0.0001,1.0,1.0,1.0,206.0,0.0001,0.0001,3.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1.0,-1.0,-1.0,1e-05,1e-05,1e-05,1e-05,0.0235,1e-05,1e-05,0.00314521418323,spam,pollution
0.0001,0.0001,16.0,86.0,2.0,91.0,7.0,5.0,2.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.15873015873,0.0001,0.0001,0.0001,0.0001,0.0001,22.0,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,3.0,82.07685,1618.129,0.0001,0.145,352.398305623,0.0001,0.0001,0.143333333333,0.0001,25.0,0.0001,25.0,25.0,0.0001,0.0001,0.0001,0.0001,0.0001,1.14354869947e-05,2,0.952380952381,0.276195427648,1e-05,1e-05,1e-05,1e-05,0.02725,1e-05,1e-05,0.00364711006354,spam,marketer
0.0001,0.0001,16.0,86.0,2.0,91.0,7.0,5.0,2.0,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.952380952381,0.15873015873,0.0001,0.0001,0.0001,0.0001,0.0001,20.0,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,3.0,82.07685,1618.129,0.0001,0.145,352.398305623,0.0001,0.0001,0.143333333333,0.0001,25.0,0.0001,25.0,25.0,0.0001,0.0001,0.0001,0.0001,0.0001,1.14354869947e-05,2,0.952380952381,0.276195427648,0.461695626447,1e-05,1e-05,0.461695626447,1e-05,1e-05,1e-05,0.123112525109,spam,marketer
0.0001,0.0001,0.0001,2.0,3.0,3.817,1.0,5.0,1.0,1.0,0.0428571428571,0.0428571428571,0.0428571428571,0.0428571428571,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,8.0,0.0001,0.0001,0.0001,0.0001,33.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,1e-05,1e-05,1e-05,1e-05,0.0214,0.4825,1e-05,0.068331461365,spam,badmouthing
0.0001,0.0001,3.0,2.0,0.0001,24.24,7.0,4.0,69.0,27.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,20.0,0.0001,1.945,1.945,1.945,1.945,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6.4628802072e-06,1,1.0,0.0001,1e-05,1e-05,1e-05,1e-05,-0.0334,-0.1725,-0.8,-0.155934658742,spam,badmouthing
